ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
42.67,8.53,2.5,4.43,4,2.01,3.25,6.99,3.77,2.01,0.82,2.47,1.89,1943
42.82,1.25,6.27,3.89,2.85,1.57,4.95,5.57,2.42,0.8,1.61,1.78,9.86,1927
42.95,6.73,1.01,4.05,2.58,2.2,3.77,1.78,4.1,2.88,5.04,6.66,2.15,1947
43.55,2.84,5.04,5.88,1,4.02,1.9,4.73,4.87,3.5,2.37,1.39,6.01,1942
43.73,3.47,2.5,2.92,4.61,4.21,3.08,6.83,6.29,2.01,1.98,4.16,1.67,1935
43.79,4.54,3.66,5.37,8.5,2.6,1.77,6.6,2.72,1.37,1.52,1.6,3.54,1958
43.96,3.1,5.96,1.29,2.41,4.59,3.75,12.16,1.25,2.63,1.58,2.01,3.23,1916
45.11,7.73,4.58,5.17,2.08,0.25,1.86,4.29,4.06,1.44,2.46,4.63,6.56,1926
45.23,1.79,4.11,2.41,5.08,1.36,0.86,3.64,5.55,2.4,4.63,3.95,9.45,1914
45.52,1.57,6.25,7.43,5.65,1.98,2.12,2.4,5.68,4.61,2.77,3.15,1.91,1944
45.82,4.88,8.69,3.88,3.24,3.82,1.97,5.7,7.16,0.56,1.14,0.42,4.36,1939
46,2.55,2.58,4.63,3.63,5.73,0.78,4.38,4.46,2.62,1.06,1.02,12.56,1931
46.08,2.66,4.34,6,4.27,4.51,5.07,2.92,5,1.72,3.22,2.96,3.41,1934
46.32,0.38,2.23,2.14,3.38,4.32,6.9,2.27,5.05,5.31,1.27,6.25,6.82,1907
47.09,3.68,4.71,11.99,3.13,1.9,2.18,3.6,7.27,1.28,1.34,1.35,4.66,1952
48.74,5.09,3.9,2.46,7.02,3.36,2.26,5.95,2.65,8.55,0.85,0.81,5.84,1924
48.75,5.1,8.87,2.42,2.85,5.61,1.75,3.15,3.77,6.49,2.56,3.38,2.8,1921
48.85,3.1,4.34,2.2,1.56,12.81,6.69,3.73,3.76,3.79,2.95,0.3,3.62,1910
49.47,5.15,4.2,3.62,4.82,2.66,3.61,0.58,3.94,7.09,2.65,7.59,3.56,1957
49.52,3.02,9.35,4.52,1.94,1.47,5.34,3.41,4.49,4.42,3.39,2.39,5.78,1902
49.56,5.16,7.29,4.47,3.09,2.57,1.78,4.27,5.66,6.94,0.49,1.1,6.74,1953
49.76,1.59,2.32,5.25,3.7,0.52,4.61,4.86,7.02,8.85,1.1,2.23,7.71,1951
50.54,8.12,3.9,1.75,4.57,3.08,2.86,3.77,4.51,4.19,10.99,0.95,1.85,1937
50.91,3.29,3.08,3.62,5.07,0.48,2.9,6.56,5.71,2.74,5.71,4.41,7.34,1911
51.42,2.31,8.25,2.01,2.95,3.87,6.66,4.88,5.69,4.49,5.43,2.89,1.99,1893
51.94,3.45,7.05,7.79,4.65,2.88,3.63,5.75,3.45,2.42,3.94,4.54,2.39,1897
52.49,3.67,4.68,1.87,1.37,5.07,4.56,11.07,2.27,3.49,2.73,9.48,2.23,1896
52.65,5.68,4.98,7.47,2.67,2.74,4.63,6.6,2.56,4.45,3.65,2.58,4.64,1913
53.15,4.09,3.73,2.05,2.38,6.51,1.95,8.88,7.98,1.97,3.32,1.44,8.85,1905
53.41,2.11,5.35,5.6,2.6,9.03,2.32,5.25,6.15,3.89,6.91,0.05,4.15,1890
53.62,6.53,6.48,3.58,1.89,6.61,3.99,4.84,4.34,0.07,5.5,3.09,6.7,1919
53.84,7.37,4.83,5.12,3.52,5.11,4.19,6.02,5.56,2.33,4.29,3.39,2.11,1946
54.06,6.29,5.56,2.93,0.57,6.33,3.99,3.06,8.33,1.74,5.82,2.92,6.52,1915
54.13,2.99,3.3,4.24,5.66,4.47,4.36,7.58,13.36,3.94,1.84,0.88,1.51,1928
54.38,2.68,4.62,5.81,5.77,5.79,1.73,6.21,11.17,1.41,0.51,4.09,4.59,1923
54.58,1.58,9.74,4.84,6.57,3.88,2.44,8.14,1.94,8.14,1.97,2.62,2.72,1956
55.25,5.32,7.21,5.95,4.97,6.28,6.59,5.21,0.95,0.72,4.77,0.48,6.8,1922
55.38,3.54,0.8,3.42,4.51,1.5,2.18,11.2,10.1,6.31,5.18,3.35,3.29,1898
55.77,2.74,5.99,3.5,6.14,2.66,2.59,6.47,5.33,8.1,1.73,2.81,7.71,1945
56.1,4.94,11.59,7.31,4.47,1.13,9.06,5.75,4.05,2.16,1.39,1.95,2.3,1903
56.28,5.86,8.31,11.6,2.82,4.83,4.3,6.55,6.84,0.49,0.37,4.31,M,1891
57.22,4.66,4.01,8.38,1.83,7.74,3.11,2.9,4.25,2.84,1.08,12.18,4.24,1948
57.24,2.88,9.13,7.58,7.92,1.9,9.75,2.23,1.39,3.51,2.86,4.41,3.68,1900
58.07,4.48,6.34,10.79,3.98,3.35,3.22,8.19,5.95,7.83,2.35,0.59,1,1917
59.37,5.83,3.42,8.26,7.18,1.62,6.11,7.9,5.96,2.65,0.53,4.52,5.39,1920
60.75,3.07,4.9,5.64,1.43,8.91,10.31,7.86,5.49,4.95,2.29,1.3,4.6,1909
60.93,7.42,2.99,2.56,4.84,5.61,5.96,2.14,3.07,4.38,11.41,3.18,7.37,1918
61.24,4.23,5.65,2.63,5.77,3.2,3.93,7.14,8.62,5.32,10.4,2.07,2.28,1949
61.61,10.63,0.96,7.48,1.35,2.94,4.28,10,4.23,10.35,3.43,1.3,4.66,1906
61.74,9.26,4.19,4.43,8.4,0.15,2.8,4.93,4.49,10.34,6.07,1.34,5.34,1936
61.89,6.82,3.74,5.41,2.68,2.02,4.96,3.18,2.97,2.79,12.68,3.78,10.86,1932
64.13,3.91,6.39,10.29,8.17,7.14,6.58,4.89,2.65,4.3,3.03,3.62,3.16,1912
66.81,3.82,9.16,9.03,5.73,3.66,2.97,1.62,1.35,12.95,7.58,5.5,3.44,1929
72.53,4.73,6.65,4.25,3.89,1.45,4.56,9.25,19.52,3.82,6.14,3.09,5.18,1908
78.85,4.55,3.38,8.68,7.13,7.48,7.99,4.51,16.76,7.35,0.82,0.68,9.52,1901
